vidid	adview
VID_16014	2
VID_21928	22
VID_22002	2
VID_19194	2
VID_17892	5
VID_19234	47504
VID_1790	4
VID_7878	1
VID_6945	1
VID_17600	1
VID_7502	1
VID_11761	13
VID_578		12
VID_2068	1
VID_10591	1
VID_1300	7
VID_2950	1
VID_12930	2
VID_22247	208
VID_4330	1
VID_14398	31
VID_8506	146379
VID_12462	22
VID_21697	1
VID_14574	1
VID_14171	9
VID_22620	6894
VID_5642	2
VID_12689	1
VID_3676	2
VID_23515	1
VID_11336	1
VID_8360	10
VID_14293	1
VID_7088	6
VID_11588	17
VID_12193	1
VID_18944	1
VID_14220	4
VID_2589	3
VID_17644	10
VID_20263	2
VID_15204	5
VID_6855	17
VID_19306	1
VID_20132	1
VID_18477	16
VID_4562	1
VID_17001	32
VID_6858	13
VID_20250	1
VID_22484	1574
VID_2358	2
VID_17132	38
VID_19635	2
VID_20188	1
VID_1272	2
VID_2390	2
VID_10914	1
VID_9647	2469
VID_11219	1
VID_13260	1
VID_21600	2
VID_12441	724
VID_15261	13
VID_11540	4
VID_20101	35
VID_3909	3
VID_14409	1
VID_10430	1
VID_8148	4
VID_9579	2
VID_12302	2
VID_7161	2
VID_17471	1
VID_13296	5
VID_1935	43
VID_23277	1
VID_20389	1
VID_2988	1
VID_5453	1
VID_6553	1
VID_18356	1
VID_15268	1
VID_21503	72
VID_6901	1
VID_5796	3
VID_21475	2
VID_19600	1
VID_7977	37895
VID_4704	9709
VID_20858	3
VID_23644	25
VID_12962	1
VID_4894	2
VID_4803	2
VID_8408	1
VID_12226	5
VID_1299	1
VID_7721	7465
VID_1919	6
VID_23316	1
VID_17849	3786
VID_1313	14
VID_9117	1
VID_9152	1
VID_15543	3
VID_11505	6
VID_647		1
VID_2236	1
VID_14118	1
VID_1225	1
VID_11257	4
VID_13130	3
VID_12580	1
VID_860	30
VID_14251	1
VID_6476	4
VID_13070	7
VID_4623	1
VID_13599	1
VID_11705	1
VID_11736	2
VID_14145	2
VID_13264	24
VID_10476	1
VID_22755	1
VID_13294	34
VID_964		4
VID_23498	2
VID_12090	31467
VID_7494	1
VID_141		1
VID_242		4
VID_8088	380
VID_10154	1
VID_3878	6
VID_4799	1
VID_12287	3
VID_15607	1
VID_9974	2
VID_20032	1
VID_9920	4
VID_7959	2
VID_21506	1
VID_15898	140
VID_4349	30
VID_16235	6
VID_6391	26
VID_4940	6
VID_16185	10
VID_6988	1
VID_877		1
VID_23610	4
VID_17702	4
VID_18664	1
VID_9915	2
VID_4438	22
VID_15812	1
VID_15966	2
VID_2832	20947
VID_20533	3
VID_12692	1
VID_11340	4
VID_10760	10
VID_19631	2
VID_7012	1
VID_7799	1
VID_3963	1
VID_501		1
VID_9202	1
VID_14268	4
VID_21714	4448
VID_23154	7
VID_4429	3
VID_16062	1
VID_6282	3
VID_13205	1
VID_8515	1
VID_9480	6
VID_21979	19
VID_18494	1
VID_20589	1
VID_15916	2
VID_17023	1
VID_8425	3
VID_3586	5
VID_5788	6
VID_12137	4
VID_14347	11
VID_19044	5
VID_11039	7
VID_3484	2
VID_15142	9
VID_3351	12
VID_5895	1
VID_16112	4
VID_19247	9
VID_11439	1
VID_18883	1
VID_12140	7
VID_17446	14
VID_5115	9
VID_21486	3
VID_17120	1
VID_3959	1
VID_15956	1
VID_15739	1
VID_2682	1
VID_14621	5
VID_9320	3
VID_12110	7
VID_11354	1
VID_811		7
VID_9472	1
VID_4773	9
VID_12695	1
VID_19547	5
VID_530		1
VID_155		1
VID_22955	13
VID_20307	1
VID_11612	2
VID_15674	1699
VID_13000	1
VID_1455	13
VID_23534	4
VID_18740	2
VID_17988	2
VID_21728	32
VID_10905	1
VID_18445	8947
VID_21983	3
VID_16023	4
VID_1444	2
VID_1814	1
VID_19094	1
VID_19355	24
VID_20430	3464
VID_13461	1
VID_9066	31467
VID_3020	2
VID_13577	3
VID_5062	1
VID_9293	1
VID_16663	1
VID_20444	1
VID_22353	1
VID_22384	11
VID_23036	1
VID_12705	3
VID_11785	1
VID_22988	7
VID_9495	2
VID_8909	5
VID_13459	4
VID_22206	2
VID_12228	9
VID_2335	3
VID_17498	1
VID_18702	5
VID_10850	1
VID_12956	1
VID_6246	1
VID_9539	524
VID_17436	19
VID_8383	3
VID_4554	1
VID_18487	1
VID_6285	2
VID_287	2598
VID_5371	18
VID_10704	1
VID_20810	1
VID_7972	9
VID_10923	6
VID_11876	3
VID_15477	2
VID_12366	1
VID_6538	13
VID_10092	3
VID_6826	1
VID_22526	4
VID_10897	14
VID_3400	26
VID_9995	104
VID_19337	4
VID_9673	1
VID_12280	32
VID_14038	63
VID_11157	1
VID_13406	1
VID_7774	1
VID_7386	4
VID_2419	2
VID_6334	3
VID_1778	10
VID_4907	6
VID_7122	1
VID_10445	4
VID_18113	4
VID_6716	316
VID_5803	1
VID_6459	2
VID_14427	5
VID_3872	1622
VID_6774	23927
VID_11609	1
VID_21821	2
VID_14317	2
VID_4982	11
VID_5798	1
VID_4365	4
VID_6535	2
VID_7237	3
VID_10388	18
VID_17934	4
VID_838		2
VID_5439	1
VID_11455	1
VID_7473	2
VID_16677	1
VID_18433	4
VID_10243	2
VID_23592	3
VID_19401	2
VID_2547	1
VID_4525	1
VID_13804	9
VID_22266	7
VID_7560	1
VID_10381	1
VID_4977	1
VID_14081	3
VID_19054	1
VID_2608	10
VID_8639	1
VID_4407	3
VID_9135	1
VID_9462	61
VID_10687	129343
VID_15274	1
VID_22631	1
VID_3777	4
VID_10585	1
VID_18024	3
VID_10941	1
VID_525		1
VID_17097	2
VID_13836	2
VID_12202	1
VID_20868	8
VID_17084	2
VID_23196	1
VID_7322	1
VID_17922	1
VID_5486	15
VID_15289	274374
VID_7993	1
VID_14078	3
VID_21530	92
VID_11469	22
VID_20959	2877
VID_18159	13549
VID_19624	36
VID_19029	4
VID_3489	2
VID_15983	32
VID_23605	14
VID_23757	2
VID_7488	1
VID_15445	1
VID_4538	1
VID_22661	4
VID_5912	1
VID_3324	8
VID_21241	226
VID_18194	10832
VID_8640	8
VID_10657	427809
VID_3622	3
VID_14909	1
VID_5961	1
VID_117		1
VID_4690	102
VID_10717	10
VID_20280	3
VID_6395	2
VID_9199	2
VID_6343	8
VID_7459	20
VID_18041	3
VID_12175	1
VID_8174	1
VID_15644	1
VID_3021	12
VID_251		344
VID_20609	1
VID_2033	1
VID_20357	3
VID_16428	2
VID_12297	3
VID_1214	6
VID_19907	2
VID_4697	1
VID_22474	3008
VID_4002	1
VID_17351	26
VID_937		26
VID_17501	2
VID_2312	38
VID_22996	1
VID_14413	3663
VID_7938	1
VID_616		1
VID_22499	20
VID_21393	1
VID_23320	1
VID_22780	11
VID_10862	2
VID_21132	2
VID_1416	2
VID_624		1
VID_10127	2
VID_15874	1
VID_6946	1
VID_8674	1
VID_22878	28
VID_560		2
VID_13640	209509
VID_9765	7442
VID_22398	1
VID_20560	1
VID_4068	1
VID_938		2
VID_19068	2
VID_8889	8
VID_23347	273
VID_16952	1185
VID_6032	1
VID_5116	3
VID_4210	9
VID_22022	1
VID_16770	2
VID_18981	1
VID_1668	2
VID_23726	7
VID_18550	367
VID_5518	1
VID_12958	1
VID_16501	203
VID_21485	1
VID_14475	1
VID_3865	5
VID_21642	18
VID_22934	24
VID_14667	2
VID_5519	1
VID_17889	1
VID_17728	17
VID_8727	9
VID_14785	3
VID_16387	1
VID_10703	1
VID_7213	217
VID_14454	2
VID_13455	1
VID_5467	13
VID_21139	26
VID_9033	9
VID_3863	1
VID_13990	1
VID_2641	3
VID_15745	1
VID_5929	1
VID_769		2
VID_5499	2
VID_8609	2
VID_3903	4
VID_19579	1
VID_10506	1
VID_23577	2
VID_9042	10
VID_10606	10
VID_14849	2
VID_10497	1
VID_21208	21127
VID_12837	256
VID_7924	1
VID_21109	1
VID_6848	4
VID_8993	2
VID_10584	1
VID_19794	2
VID_15209	2
VID_6195	1
VID_22498	1
VID_9814	2
VID_18155	3
VID_20573	8
VID_4092	32
VID_15455	1
VID_8989	2
VID_1852	1
VID_17278	3
VID_12619	38
VID_22663	1
VID_15372	2
VID_13978	1754
VID_17325	1
VID_19025	3
VID_21374	1
VID_10207	1
VID_11924	5
VID_8975	8
VID_8851	1
VID_12210	1
VID_8178	2
VID_19252	2118
VID_5421	2
VID_6757	15
VID_8125	1
VID_14709	3
VID_5795	43
VID_21888	6
VID_14058	15
VID_8028	1
VID_22918	7
VID_11731	2
VID_22841	13
VID_7453	1
VID_11870	3
VID_20484	1
VID_1971	491
VID_599		10
VID_16812	2
VID_5401	262
VID_16289	4
VID_12150	1
VID_13299	26
VID_19015	1
VID_1604	6
VID_18013	17
VID_2240	1
VID_8114	2
VID_13586	1
VID_2784	1
VID_1539	10
VID_6787	1
VID_11544	2
VID_5296	6
VID_5684	6
VID_7467	4
VID_5869	1
VID_19596	1
VID_96		1
VID_859		1
VID_13559	2
VID_20976	3
VID_18524	1
VID_3089	26
VID_4453	6
VID_15802	10
VID_18291	1
VID_3914	139
VID_10582	1
VID_11482	2
VID_615	4
VID_19069	1
VID_911		448
VID_3308	1
VID_5668	2
VID_16402	24
VID_19375	53
VID_8556	2
VID_19966	3
VID_17274	3
VID_407		1
VID_23383	1
VID_6105	1
VID_2643	11
VID_18875	1
VID_13188	3
VID_13504	3
VID_17900	1
VID_6368	3
VID_19648	6
VID_23490	1
VID_9098	1
VID_12973	4
VID_15207	2
VID_17033	19
VID_21758	4
VID_21628	2
VID_3935	1
VID_5670	1
VID_13844	1
VID_20416	2211
VID_19885	6
VID_15487	11
VID_9890	1
VID_17721	4
VID_2585	1
VID_19723	2
VID_22716	1
VID_10004	7
VID_1529	6
VID_8126	5
VID_4224	3
VID_22704	1
VID_10705	1
VID_10524	1
VID_1133	40
VID_3404	15
VID_20344	1
VID_9397	8
VID_20601	2
VID_9482	1
VID_6673	2
VID_3899	32
VID_7008	7
VID_2690	1
VID_7483	1
VID_1614	1
VID_241		2
VID_13499	1
VID_11734	1
VID_18937	429
VID_11906	30
VID_11525	1
VID_4199	17
VID_19984	2
VID_15743	1
VID_23097	15
VID_16716	1
VID_6805	1
VID_6552	20330
VID_269		1
VID_13646	3
VID_10761	1
VID_16502	90936
VID_10352	16
VID_10226	1
VID_23493	78
VID_734		16
VID_5364	1
VID_5122	7
VID_2104	1147
VID_5143	15
VID_3850	4
VID_23633	3
VID_19158	3
VID_23597	31
VID_5716	3
VID_23516	2
VID_12921	13
VID_17949	2
VID_8164	6
VID_2097	1
VID_10400	1
VID_998		1
VID_11447	1
VID_7866	4
VID_11664	17
VID_7094	1
VID_19536	1
VID_13747	1
VID_6307	1
VID_2424	8
VID_6363	1
VID_1524	4
VID_20772	2
VID_23466	2
VID_10752	3
VID_4918	1
VID_23046	2
VID_6694	6
VID_4646	3
VID_17016	28
VID_11145	1
VID_12387	19306
VID_22126	1
VID_17930	2
VID_12268	1
VID_5192	2
VID_16369	12
VID_11841	3
VID_13926	2
VID_5622	1
VID_5346	1
VID_10544	4
VID_6622	1
VID_17583	39
VID_13876	4
VID_1033	2
VID_10998	9
VID_7037	2
VID_22495	1
VID_13170	6
VID_7480	1
VID_13753	1
VID_13831	3
VID_17763	4
VID_2793	2
VID_20514	52534
VID_22850	4
VID_3953	7
VID_2434	1
VID_13670	1
VID_12368	1
VID_19664	1
VID_4173	176
VID_15859	11
VID_14717	1
VID_18425	16
VID_5232	1
VID_6288	6
VID_7433	1
VID_1003	2
VID_13060	3
VID_15297	1
VID_9730	1
VID_19022	10
VID_1885	133052
VID_7425	1
VID_20867	10
VID_2501	5
VID_19822	1
VID_10604	4
VID_18763	5
VID_1818	22
VID_16644	68
VID_7528	2
VID_8166	2
VID_22357	10
VID_3918	12
VID_10589	1
VID_3027	4
VID_23607	2
VID_9153	1
VID_291		1
VID_8213	2
VID_9424	4
VID_19769	6
VID_22910	1
VID_14626	6
VID_2363	7
VID_5125	1
VID_16291	3
VID_14392	2
VID_1036	8
VID_14153	74
VID_13506	1
VID_6149	15
VID_2777	1
VID_19018	2
VID_8497	1
VID_21395	1
VID_7117	13227
VID_21328	3
VID_7710	3
VID_17750	1
VID_1680	2
VID_4028	1
VID_20481	1
VID_8880	1
VID_21640	1
VID_13074	3
VID_8763	48
VID_3983	5
VID_432		1
VID_14174	1
VID_23234	7
VID_23704	111
VID_5492	1
VID_6329	2
VID_3504	11
VID_5758	1
VID_4794	11
VID_20788	2
VID_5213	1
VID_6785	2
VID_11456	1
VID_22729	4
VID_9741	33168
VID_16684	4
VID_11853	2
VID_3598	8
VID_6772	4
VID_2469	1
VID_2206	11
VID_6843	3
VID_10634	1
VID_8040	1
VID_12369	2
VID_2693	1
VID_11067	2
VID_11520	1
VID_2821	2
VID_3038	19
VID_11250	1
VID_22710	1
VID_11733	1
VID_7363	1
VID_23723	10
VID_11688	20
VID_6034	3
VID_22123	1
VID_20388	18
VID_6503	9
VID_15018	4
VID_22601	1
VID_3210	15
VID_11450	2
VID_1040	8
VID_13938	1
VID_20462	42
VID_22043	14
VID_23262	5
VID_13502	2
VID_13855	3
VID_1368	6
VID_9381	1
VID_12394	9
VID_19290	6
VID_5050	1
VID_23326	4
VID_5262	1
VID_23088	1
VID_13259	1
VID_13056	1
VID_17553	1
VID_5220	5
VID_16497	2
VID_17882	4
VID_14613	4
VID_600		1
VID_19476	1
VID_814		16
VID_21709	1349
VID_23117	2
VID_22461	1
VID_5566	1
VID_3407	5
VID_5958	1
VID_15941	3
VID_11387	1
VID_11741	1
VID_70		1
VID_20781	1294
VID_11832	16
VID_1723	3
VID_6240	13
VID_8963	12
VID_14121	1
VID_7960	1
VID_14523	25
VID_20941	5
VID_23728	39
VID_17575	3
VID_13353	1
VID_18877	4
VID_19283	4
VID_19494	4
VID_12311	2
VID_21019	3
VID_23343	1
VID_16495	39
VID_2932	2
VID_21207	1
VID_12004	667
VID_11129	1
VID_15892	1
VID_5645	12
VID_8615	54363
VID_20982	7
VID_12201	3
VID_20427	1
VID_17217	1
VID_1642	12
VID_11516	1
VID_23022	1
VID_7142	2
VID_9909	1
VID_9529	7
VID_22664	1
VID_435	12465
VID_15960	1
VID_12952	1
VID_21100	1
VID_23229	15
VID_10906	13227
VID_2945	9
VID_10393	1
VID_11026	8
VID_13865	2
VID_13079	4
VID_20285	3
VID_22600	7
VID_15248	2
VID_12096	3
VID_12609	2
VID_21464	8
VID_2568	2
VID_18864	2
VID_3347	1
VID_15238	37
VID_17746	1531
VID_20055	24
VID_7138	1
VID_5665	5
VID_8130	14
VID_14441	1
VID_8693	1
VID_12944	1861
VID_3446	11
VID_2862	6
VID_5671	1
VID_8484	3
VID_5596	1
VID_15925	1
VID_18290	3
VID_4102	1
VID_18762	2
VID_49		1
VID_19899	2094
VID_6311	1
VID_9972	22
VID_12965	1861
VID_12420	72
VID_7547	1
VID_21893	5
VID_21819	1
VID_20945	4
VID_3359	6
VID_1671	10
VID_7479	1
VID_12766	1
VID_8145	1
VID_13652	1
VID_21627	1
VID_472		7
VID_16667	8
VID_20187	2
VID_18033	35
VID_1061	18
VID_3719	1
VID_14470	10
VID_430		1
VID_22153	16
VID_19285	1
VID_8843	3
VID_11084	1
VID_1246	5
VID_22180	4
VID_3111	1
VID_7313	1
VID_23081	75120
VID_10020	250
VID_5656	1
VID_15080	1
VID_18949	1
VID_10056	1
VID_17696	2
VID_23304	6
VID_22199	6
VID_4851	3
VID_3917	16
VID_6859	4
VID_21622	1
VID_20987	11
VID_20279	2
VID_12069	1
VID_3742	1
VID_5130	5
VID_3029	1
VID_23673	3
VID_9586	6
VID_11637	5478
VID_15344	2
VID_12885	2
VID_4096	1
VID_4138	9
VID_12864	1
VID_5340	2
VID_11542	4
VID_18608	3
VID_15189	31
VID_22317	1
VID_22385	1
VID_10936	110
VID_11519	1
VID_12576	4
VID_20918	1
VID_17112	53
VID_2396	1
VID_3125	10
VID_9058	5
VID_5939	4
VID_7593	3
VID_4754	7
VID_2974	1
VID_3590	341
VID_3600	1
VID_8459	35894
VID_4543	1
VID_12434	5
VID_12167	24
VID_1322	233
VID_19409	1
VID_10523	3
VID_4457	2
VID_19478	1
VID_20828	3
VID_10775	2
VID_12091	111
VID_14378	1
VID_1418	1
VID_12458	1
VID_15357	1
VID_3555	77
VID_19662	4
VID_9393	3
VID_19125	5
VID_17044	1
VID_14112	5
VID_22607	1
VID_9508	1
VID_18141	8
VID_13392	1
VID_6306	4
VID_16298	13
VID_5832	1
VID_20852	360231
VID_2052	1
VID_11283	1
VID_20392	1
VID_22108	1
VID_3064	17
VID_4482	1
VID_11672	1
VID_3301	1
VID_20106	1
VID_16205	6
VID_9532	3
VID_11294	1
VID_12690	4
VID_21059	1
VID_2388	1
VID_17405	1
VID_3099	1
VID_20770	1
VID_17262	1
VID_4476	1
VID_1163	14
VID_22777	1478
VID_21090	2
VID_6598	2
VID_5743	5
VID_21253	1
VID_20611	22
VID_1089	1
VID_4371	4
VID_17003	2
VID_18424	3
VID_1222	1
VID_6479	1
VID_13563	38
VID_12946	1
VID_8437	26
VID_21515	6
VID_14775	2
VID_17802	1
VID_8274	1
VID_23680	2
VID_6005	3
VID_23105	49
VID_9956	1
VID_6750	1
VID_16401	1
VID_23075	1
VID_14863	1
VID_19341	1859
VID_19522	1
VID_7749	1
VID_17107	1
VID_12774	1
VID_8974	84
VID_11208	2
VID_6781	8
VID_2411	7
VID_8384	1
VID_21496	1
VID_18389	1176
VID_18660	2
VID_1547	6
VID_1065	12
VID_7387	123
VID_11746	1
VID_7133	1
VID_17890	1
VID_12710	4
VID_4806	8
VID_1976	1
VID_13114	36682
VID_19933	2
VID_8961	1
VID_4436	4
VID_11471	8
VID_6393	18
VID_8690	1
VID_1266	441
VID_10199	1
VID_16287	10
VID_11285	1
VID_22078	12
VID_22632	1
VID_17811	1
VID_308		1
VID_8559	3
VID_13391	5
VID_23733	3
VID_12814	1
VID_7783	1
VID_11619	367
VID_4950	170
VID_17844	961
VID_15758	2
VID_20079	11
VID_10069	1
VID_15577	1
VID_9911	10746
VID_17668	3
VID_22412	1
VID_20668	1
VID_5469	24
VID_3477	1
VID_15324	2
VID_11267	2
VID_8597	2
VID_14548	2
VID_1194	2
VID_5600	4
VID_714		1
VID_15462	1
VID_17243	5
VID_2432	7
VID_12784	1
VID_4755	1
VID_12103	16
VID_5452	1
VID_1077	6
VID_13656	194
VID_23047	7
VID_2692	6
VID_20623	13
VID_19418	1
VID_22232	7
VID_6574	4
VID_7327	1
VID_13579	1
VID_14575	53
VID_5813	3
VID_15008	2
VID_575		1
VID_20939	7
VID_1973	1
VID_6371	4
VID_14854	145
VID_14833	1525
VID_21299	1
VID_16915	1
VID_6309	16
VID_10230	11
VID_17533	5
VID_13445	4005
VID_20091	1
VID_14734	129
VID_990		3
VID_1433	13
VID_17335	1
VID_9492	173678
VID_16368	1
VID_21194	1
VID_7536	2
VID_11647	51
VID_22540	1
VID_12919	3
VID_8573	2
VID_332		2
VID_23679	2
VID_6675	30
VID_6431	20
VID_12138	13
VID_14674	5
VID_9043	22
VID_1427	3
VID_10326	1
VID_6121	4
VID_20413	2
VID_19785	1859
VID_12681	28683
VID_20531	1
VID_6356	1
VID_3790	39
VID_6591	2
VID_1798	11
VID_409		1
VID_11941	3
VID_22788	2
VID_9094	27
VID_7071	1
VID_3436	3
VID_20475	26
VID_22614	12
VID_15108	1
VID_7007	2
VID_18260	1
VID_10317	1
VID_21914	3
VID_8034	3
VID_9624	4
VID_9860	1
VID_609		2
VID_9013	28
VID_15684	1
VID_11353	11
VID_23124	1
VID_7717	37
VID_12993	1
VID_390		119
VID_2574	1
VID_9826	1
VID_20411	1
VID_13748	1
VID_22008	14373
VID_23133	1343
VID_18461	1
VID_13349	1
VID_8256	1
VID_10201	3
VID_773		459
VID_11020	146
VID_12745	724
VID_19425	3
VID_12029	1
VID_1907	124
VID_22849	8
VID_2714	4
VID_19918	1
VID_6134	10
VID_5853	1
VID_10963	1
VID_8466	1
VID_14189	1
VID_13934	1
VID_5932	3
VID_15673	1
VID_7804	1
VID_3722	1
VID_19906	1436
VID_3043	14
VID_1513	5
VID_2110	1
VID_17568	1
VID_11373	1
VID_22316	1
VID_15689	9
VID_22380	1
VID_6587	1
VID_7533	1
VID_15710	7
VID_821		1
VID_13807	11222
VID_12586	1
VID_7625	8
VID_22652	37
VID_9901	1
VID_21380	5
VID_7879	2
VID_15339	6
VID_10163	32248
VID_20937	1
VID_21929	1
VID_19609	1
VID_64		1
VID_17238	1
VID_9551	7
VID_9804	4
VID_4537	17
VID_10869	7235
VID_22949	1
VID_7384	1
VID_15761	1
VID_3571	1
VID_8563	1
VID_16120	1
VID_11440	22
VID_3480	2
VID_4673	1
VID_4063	90
VID_16045	1
VID_2318	4
VID_21811	5
VID_685		2
VID_18512	3
VID_21188	22
VID_16896	2
VID_4347	18
VID_2525	5
VID_20174	1
VID_7525	3
VID_6181	2
VID_8939	4
VID_6809	6
VID_16279	424
VID_2836	2
VID_19921	1
VID_10241	21
VID_5180	1
VID_7716	6
VID_5583	1
VID_12564	3
VID_2866	7
VID_3702	73
VID_10224	2
VID_19132	2
VID_16745	1
VID_9703	1
VID_9081	3
VID_14978	23927
VID_20905	44
VID_18935	4086
VID_21108	2
VID_18493	8
VID_8814	2
VID_7192	1
VID_7355	4
VID_2617	19
VID_22856	2
VID_2794	13
VID_3468	1
VID_17472	1734
VID_13767	1
VID_17302	213
VID_22238	7
VID_23200	1
VID_14721	1
VID_13902	1
VID_2880	7
VID_23371	1
VID_13147	3
VID_16856	2
VID_7893	6
VID_4230	3
VID_9663	4
VID_22068	1
VID_3623	2
VID_14520	1
VID_3215	8
VID_12263	5
VID_20214	1
VID_2926	1
VID_13776	17
VID_16270	5408
VID_1102	2
VID_2656	2
VID_17831	47
VID_17518	3
VID_20006	1
VID_4357	4
VID_5530	1
VID_2286	2
VID_3113	10530
VID_2569	1
VID_17384	17
VID_14754	1
VID_12427	4
VID_7113	4
VID_10799	1
VID_6332	1
VID_13405	1
VID_4411	146
VID_5731	7
VID_16584	4
VID_4568	50
VID_3575	1
VID_15944	2
VID_15417	2
VID_5761	4
VID_11243	9
VID_362		15
VID_8932	4
VID_22733	19
VID_793		1
VID_10956	6
VID_4422	3
VID_10549	1
VID_3939	123
VID_19790	2
VID_18850	25
VID_13900	8
VID_14794	14
VID_19774	1
VID_12857	14
VID_17928	1
VID_3372	1
VID_15175	51
VID_4571	1
VID_7559	5
VID_21354	666
VID_10061	1
VID_7537	1
VID_3488	22
VID_13611	1
VID_6878	3
VID_4973	12
VID_13113	5
VID_5266	1
VID_4629	8
VID_11240	3
VID_20165	1
VID_6081	7
VID_16533	3
VID_15917	22646
VID_9570	335
VID_11907	3
VID_23040	2
VID_23418	1
VID_3402	19
VID_784		2
VID_9459	1
VID_14437	1
VID_11004	14
VID_18896	1
VID_10256	1
VID_17618	1
VID_22331	578
VID_3752	5
VID_12128	86
VID_5781	14
VID_22852	2
VID_3982	2
VID_12789	1
VID_10045	2
VID_16750	2
VID_4877	1
VID_21679	1
VID_4105	12
VID_10655	1
VID_17768	2
VID_2849	152
VID_3663	34
VID_4544	1
VID_2207	1
VID_7078	2
VID_13144	2
VID_4884	4
VID_852		1
VID_12131	1
VID_16562	1
VID_9009	7
VID_13487	24
VID_14576	1
VID_16832	1
VID_17985	3
VID_21569	1
VID_4951	1
VID_18135	1
VID_1962	2
VID_23091	3
VID_23077	1
VID_9672	5
VID_20332	7
VID_4113	3
VID_6555	1
VID_6209	10
VID_23570	1
VID_14917	1
VID_17109	8
VID_6136	2
VID_3040	1
VID_9886	57
VID_18657	16
VID_2394	2
VID_1352	124
VID_8297	1
VID_10112	2
VID_4262	1
VID_10461	1
VID_1952	11
VID_10504	1
VID_10590	1
VID_18256	1
VID_19145	6
VID_20784	2
VID_448		3
VID_6293	5
VID_4462	1
VID_6650	25
VID_11002	2
VID_17404	1
VID_2118	6
VID_3642	2
VID_7963	2
VID_1340	2
VID_6769	1
VID_23631	1
VID_21726	1681
VID_11721	2
VID_1553	1
VID_541		1
VID_2429	3
VID_13505	1
VID_23404	1
VID_6298	12
VID_13722	1975
VID_19086	2
VID_19421	5
VID_3997	1
VID_5230	91
VID_14597	11
VID_22282	3
VID_3986	8
VID_13078	1
VID_5677	75
VID_7886	1
VID_20821	1
VID_13253	2
VID_3632	7
VID_15975	2
VID_22577	107
VID_15223	9478
VID_11245	2
VID_1802	190653
VID_7434	2
VID_11313	2
VID_2900	7207
VID_106		3
VID_9784	13123
VID_15561	1
VID_20893	11
VID_4174	19
VID_1295	38
VID_701	1
VID_13718	4693
VID_15384	1
VID_7332	1
VID_21757	3
VID_16022	9
VID_16236	4
VID_4337	1
VID_20636	1
VID_639		1
VID_3511	3
VID_5508	1
VID_6281	1
VID_15053	5881
VID_3435	11
VID_8616	20
VID_14044	25
VID_6493	4
VID_3158	1
VID_10253	11
VID_3001	8
VID_20951	2
VID_5750	1
VID_11466	4
VID_9642	5
VID_15556	1
VID_14167	6
VID_16180	2
VID_5456	1
VID_926		1
VID_16685	38
VID_14228	1
VID_14720	1
VID_18717	2
VID_10635	1
VID_20840	51
VID_3096	1
VID_3244	2
VID_21373	1
VID_5533	1
VID_4549	1
VID_22471	3008
VID_3835	1
VID_17761	5
VID_5721	2
VID_510		2
VID_19978	1
VID_15191	45
VID_17998	20
VID_23349	1
VID_13271	1
VID_16457	1
VID_21777	12
VID_6416	23
VID_11087	13
VID_7437	1
VID_22835	2
VID_8283	4
VID_13522	1
VID_7611	1
VID_8984	1
VID_10628	1
VID_9849	1
VID_1968	1
VID_11578	1
VID_2237	3
